Education_Sector,Entity_Type,SCHOOL_NO,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1,716,Coimadai Primary School,Primary,O,86 Bennetts Lane,,Coimadai,VIC,3340,86 Bennetts Lane,,COIMADAI,VIC,3340,03 5367 2907,515,Moorabool (S),144.47831,-37.61379
Government,1,723,Birregurra Primary School,Primary,O,58 Beal Street,,Birregurra,VIC,3242,58 Beal Street,,BIRREGURRA,VIC,3242,03 5236 2222,175,Colac-Otway (S),143.78651,-38.34046
Government,1,734,Clayton North Primary School,Primary,O,1714 Dandenong Road,,Clayton,VIC,3168,1714 Dandenong Road,,CLAYTON,VIC,3168,03 9544 1522,497,Monash (C),145.12267,-37.91194
Government,1,737,Milawa Primary School,Primary,O,133 Milawa-Bobinawarrah Road,,Milawa,VIC,3678,133 Milawa-Bobinawarrah Road,,MILAWA,VIC,3678,03 5727 3243,670,Wangaratta (RC),146.43248,-36.44454
Government,1,744,Lockwood Primary School,Primary,O,190 Wiegards Road,,Lockwood,VIC,3551,190 Wiegards Road,,LOCKWOOD,VIC,3551,03 5435 3224,262,Greater Bendigo (C),144.16156,-36.80258
Government,1,749,Bealiba Primary School,Primary,O,9 Grant Street,,Bealiba,VIC,3475,9 Grant St,,BEALIBA,VIC,3475,03 5469 1256,167,Central Goldfields (S),143.5519,-36.78994
Government,1,754,Bairnsdale Primary School,Primary,O,324 Main Street,,Bairnsdale,VIC,3875,P O Box 679,,BAIRNSDALE,VIC,3875,03 5152 4395,211,East Gippsland (S),147.62323,-37.82742
Government,1,755,Gordon Primary School,Primary,O,1 Dicker Street,,Gordon,VIC,3345,1 Dicker Street,,GORDON,VIC,3345,03 5368 9223,515,Moorabool (S),144.10505,-37.58385
Government,1,767,Hepburn Primary School,Primary,O,156 Main Road,,Hepburn,VIC,3461,156 Main Road,,HEPBURN,VIC,3461,03 5348 2531,291,Hepburn (S),144.13276,-37.30972
Government,1,769,Lara Lake Primary School,Primary,O,89 Forest Road South,,Lara Lake,VIC,3212,P O Box 132,,LARA LAKE,VIC,3212,03 5282 1261,275,Greater Geelong (C),144.39564,-38.0304
Government,1,770,Rosedale Primary School,Primary,O,1-23 Cricket Street,,Rosedale,VIC,3847,P O Box 182,,ROSEDALE,VIC,3847,03 5199 2473,681,Wellington (S),146.7739,-38.1546
Government,1,776,Bright P-12 College,Pri/Sec,O,46 Bakers Gully Road,,Bright,VIC,3741,P O Box 30,,BRIGHT,VIC,3741,03 5755 1166,11,Alpine (S),146.96093,-36.7331
Government,1,795,Rochester Primary School,Primary,O,2 George Street,,Rochester,VIC,3561,P O Box 142,,ROCHESTER,VIC,3561,03 5484 1072,137,Campaspe (S),144.698,-36.3546
Government,1,800,Ararat Primary School,Primary,O,70 - 78 Moore Street,,Ararat,VIC,3377,P O Box 225,,ARARAT,VIC,3377,03 5352 1253,26,Ararat (RC),142.93731,-37.28594
Government,1,814,Jamieson Primary School,Primary,O,1 The Sideling,,Jamieson,VIC,3723,P O Box 21,,JAMIESON,VIC,3723,03 5777 0535,425,Mansfield (S),146.14,-37.30126
Government,1,824,Preston South Primary School,Primary,O,56B Hotham Street,,Preston,VIC,3072,P O Box 1527,,PRESTON,VIC,3072,03 9484 1544,189,Darebin (C),145.00745,-37.74787
Government,1,831,Omeo Primary School,Primary,O,167 Day Avenue,,Omeo,VIC,3898,P O Box 40,,OMEO,VIC,3898,03 5159 1313,211,East Gippsland (S),147.59308,-37.10022
Government,1,843,Harrietville Primary School,Primary,O,165 Great Alpine Road,,Harrietville,VIC,3741,165 Great Alpine Road,,HARRIETVILLE,VIC,3741,03 5759 2533,11,Alpine (S),147.06494,-36.88771
Government,1,846,Mordialloc Beach Primary School,Primary,O,58 Barkly Street,,Mordialloc,VIC,3195,58 Barkly Street,,Mordialloc,VIC,3195,03 9580 1468,343,Kingston (C),145.08881,-38.00558
Government,1,849,Healesville Primary School,Primary,O,2 View Street,,Healesville,VIC,3777,P O Box 222,,HEALESVILLE,VIC,3777,03 5962 4053,745,Yarra Ranges (S),145.51604,-37.65713
Government,1,854,Lake Bolac College,Pri/Sec,O,90 Montgomery Street,,Lake Bolac,VIC,3351,90 Montgomery Street,,LAKE BOLAC,VIC,3351,03 5350 2302,26,Ararat (RC),142.8379,-37.72024
Government,1,856,Toongabbie Primary School,Primary,O,Victoria Street,,Toongabbie,VIC,3856,Victoria Street,,TOONGABBIE,VIC,3856,03 5192 4384,381,Latrobe (C),146.62518,-38.05697
Government,1,859,Waubra Primary School,Primary,O,2110 Sunraysia Highway,,Waubra,VIC,3352,2110 Sunraysia Highway,,WAUBRA,VIC,3352,03 5343 5358,599,Pyrenees (S),143.63446,-37.35384
Government,1,860,Great Western Primary School,Primary,O,Stephenson Street,,Great Western,VIC,3374,Stephenson Street,,GREAT WESTERN,VIC,3374,03 5356 2235,581,Northern Grampians (S),142.85173,-37.14851
Government,1,861,Maffra Primary School,Primary,O,22-28 Church Street,,Maffra,VIC,3860,P O Box 160,,MAFFRA,VIC,3860,03 5147 1236,681,Wellington (S),146.97677,-37.964
Government,1,862,Broken Creek Primary School,Primary,O,413 Quinn Road,,Broken Creek,VIC,3673,413 Quinn Road,,Broken Creek,VIC,3673,03 5764 1253,101,Benalla (RC),145.88923,-36.42328
Government,1,863,Lal Lal Primary School,Primary,O,12 Vaughan Street,,Lal Lal,VIC,3352,12 Vaughan Street,,LAL LAL,VIC,3352,03 5341 7580,515,Moorabool (S),144.01071,-37.67672
Government,1,864,Cobden Primary School,Primary,O,Silvester Street,,Cobden,VIC,3266,Silvester Street,,COBDEN,VIC,3266,03 5595 1087,183,Corangamite (S),143.07812,-38.32712
Government,1,866,St Leonards Primary School,Primary,O,1341 Murradoc Road,,St Leonards,VIC,3223,1341 Murradoc Road,,ST LEONARDS,VIC,3223,03 5257 1460,275,Greater Geelong (C),144.71475,-38.17184
Government,1,876,Lilydale Primary School,Primary,O,63 - 65 Castella Street,,Lilydale,VIC,3140,63 - 65 Castella Street,,Lilydale,VIC,3140,03 9735 1642,745,Yarra Ranges (S),145.35407,-37.75367
Government,1,877,Bendigo Primary School,Primary,O,Old Violet Street,,Bendigo,VIC,3550,P O Box 316,,BENDIGO,VIC,3552,03 5443 6411,262,Greater Bendigo (C),144.26524,-36.75702
Government,1,878,Darraweit Guim Primary School,Primary,O,2 Darraweit Valley Road,,Darraweit Guim,VIC,3756,2 Darraweit Valley Road,,DARRAWEIT GUIM,VIC,3756,03 5789 1234,413,Macedon Ranges (S),144.89357,-37.40103
Government,1,880,Linton Primary School,Primary,O,28 Adair Street,,Linton,VIC,3360,28 Adair Street,,LINTON,VIC,3360,03 5344 7341,249,Golden Plains (S),143.56131,-37.68407
Government,1,882,Invermay Primary School,Primary,O,187 Swinglers Road,,Invermay,VIC,3352,187 Swinglers Road,,INVERMAY,VIC,3352,03 5332 6396,57,Ballarat (C),143.87458,-37.52053
Government,1,887,Mitta Mitta Primary School,Primary,O,27 Giltrap Road,,Mitta Mitta,VIC,3701,27 Giltrap Road,,MITTA MITTA,VIC,3701,02 6072 3570,667,Towong (S),147.37948,-36.53341
Government,1,888,Camberwell Primary School,Primary,O,290 Camberwell Road,,Camberwell,VIC,3124,290 Camberwell Road,,CAMBERWELL,VIC,3124,03 9882 4663,111,Boroondara (C),145.05805,-37.83268
Government,1,890,Greenvale Primary School,Primary,O,12-24 Bradford Avenue,,Greenvale,VIC,3059,12-24 Bradford Avenue,,GREENVALE,VIC,3059,03 9333 2500,327,Hume (C),144.88618,-37.63983
Government,1,912,Alexandra Primary School,Primary,O,15 Webster Street,,Alexandra,VIC,3714,P O Box 318,,ALEXANDRA,VIC,3714,03 5772 1006,562,Murrindindi (S),145.7117,-37.19257
Government,1,919,Rockbank Primary School,Primary,O,97-105 Westcott Parade,,Rockbank,VIC,3335,P O Box 620,,MELTON,VIC,3337,03 9747 1210,465,Melton (C),144.6619,-37.73215
Government,1,932,Bannockburn P-12 College,Pri/Sec,O,139 Milton Street,,Bannockburn,VIC,3331,139 Milton St,,BANNOCKBURN,VIC,3331,03 5281 1755,249,Golden Plains (S),144.16067,-38.042
Government,1,945,Doreen Primary School,Primary,O,75 Doctors Gully Road,,Doreen,VIC,3754,75 Doctors Gully Road,,DOREEN,VIC,3754,03 9717 3563,571,Nillumbik (S),145.14554,-37.60601
Government,1,954,Talbot Primary School,Primary,O,2 Rowe Street,,Talbot,VIC,3371,2 Rowe Street,,TALBOT,VIC,3371,03 5463 2373,167,Central Goldfields (S),143.7036,-37.16865
Government,1,956,Yarra Glen Primary School,Primary,O,35 Symonds Street,,Yarra Glen,VIC,3775,35 Symonds Street,,Yarra Glen,VIC,3775,03 9730 1254,745,Yarra Ranges (S),145.37241,-37.6497
Government,1,981,Kangaroo Flat Primary School,Primary,O,60-80 Olympic Parade,,Kangaroo Flat,VIC,3555,P O BOX 1244,,KANGAROO FLAT,VIC,3555,03 5447 5100,262,Greater Bendigo (C),144.23409,-36.78768
Government,1,982,Westmeadows Primary School,Primary,O,34-46 Riddell Street,,Westmeadows,VIC,3049,34-46 Riddell Street,,Westmeadows,VIC,3049,03 9309 4350,327,Hume (C),144.8957,-37.67565
Government,1,1002,Sunbury Primary School,Primary,O,41 The Heights,,Sunbury,VIC,3429,P O Box 212,,SUNBURY,VIC,3429,03 9744 9744,327,Hume (C),144.72814,-37.59769
Government,1,1003,Diamond Creek Primary School,Primary,O,17 Clyde Street,,Diamond Creek,VIC,3089,17 Clyde Street,,DIAMOND CREEK,VIC,3089,03 9438 1108,571,Nillumbik (S),145.15165,-37.67185
Government,1,1004,Hesket Primary School,Primary,O,800 Romsey Road,,Hesket,VIC,3442,P O Box 654,,Woodend,VIC,3442,03 5427 0330,413,Macedon Ranges (S),144.61978,-37.34781
Government,1,1008,Axedale Primary School,Primary,O,81 High Street,,Axedale,VIC,3551,81 High Street,,AXEDALE,VIC,3551,03 5439 7232,262,Greater Bendigo (C),144.50146,-36.78623
Government,1,1022,Vermont Primary School,Primary,O,4-10 Nurlendi Road,,Vermont,VIC,3133,PO BOX 53,,VERMONT,VIC,3133,03 9874 2511,698,Whitehorse (C),145.1943,-37.83736
Government,1,1023,Tarnagulla Primary School,Primary,O,51 Stanley Street,,Tarnagulla,VIC,3551,51 Stanley Street,,TARNAGULLA,VIC,3551,03 5438 7355,394,Loddon (S),143.8284,-36.77126
Government,1,1026,Balwyn Primary School,Primary,O,86B Balwyn Road,,Balwyn,VIC,3103,86B Balwyn Road,,BALWYN,VIC,3103,03 9836 7121,111,Boroondara (C),145.08138,-37.81394
Government,1,1028,Scoresby Primary School,Primary,O,11 Ingrid Street,,Scoresby,VIC,3179,11 Ingrid Street,,SCORESBY,VIC,3179,03 9763 7484,367,Knox (C),145.2275,-37.89395
Government,1,1030,Carisbrook Primary School,Primary,O,2  Camp Street,,Carisbrook,VIC,3464,2 Camp Street,,CARISBROOK,VIC,3464,03 5464 2444,167,Central Goldfields (S),143.81266,-37.05206
Government,1,1033,Wandin Yallock Primary School,Primary,O,105 Beenak Road,,Wandin North,VIC,3139,105 Beenak Road,,WANDIN NORTH,VIC,3139,03 5964 4276,745,Yarra Ranges (S),145.43595,-37.79025
Government,1,1034,Yering Primary School,Primary,O,22-24 Melba Highway,,Yering,VIC,3770,P O Box 139,,Coldstream,VIC,3770,03 9739 1451,745,Yarra Ranges (S),145.38222,-37.70535
Government,1,1035,Dartmoor Primary School,Primary,O,76 Greenham Street,,Dartmoor,VIC,3304,PO Box 35,,DARTMOOR,VIC,3304,03 5528 1382,241,Glenelg (S),141.27673,-37.92302
Government,1,1051,Mickleham Primary School,Primary,O,1880 Mickleham Road,,Mickleham,VIC,3064,1880 Mickleham Road,,MICKLEHAM,VIC,3064,03 9745 2250,327,Hume (C),144.87655,-37.5635
Government,1,1052,Inglewood Primary School,Primary,O,77 Sullivan Street,,Inglewood,VIC,3517,77 Sullivan Street,,INGLEWOOD,VIC,3517,03 5438 3303,394,Loddon (S),143.87045,-36.57394
Government,1,1054,Chewton Primary School,Primary,O,1 Hunter Street,,Chewton,VIC,3451,1 Hunter Street,,CHEWTON,VIC,3451,03 5472 2557,543,Mount Alexander (S),144.26116,-37.08233
Government,1,1070,Bolinda Primary School,Primary,O,1 Mullalys Road,,Bolinda,VIC,3432,1 Mullalys Road,,BOLINDA,VIC,3432,03 5428 5317,413,Macedon Ranges (S),144.7454,-37.43373
Government,1,1072,Napoleons Primary School,Primary,O,4721 Colac-Ballarat Road,,Napoleons,VIC,3352,4721 Colac-Ballarat Road,,NAPOLEONS,VIC,3352,03 5342 0414,249,Golden Plains (S),143.82646,-37.67863
Government,1,1075,Kew Primary School,Primary,O,Peel Street,,Kew,VIC,3101,Peel Street,,KEW,VIC,3101,03 9853 8325,111,Boroondara (C),145.03339,-37.80364
Government,1,1076,Haddon Primary School,Primary,O,398 Sago Hill Road,,Haddon,VIC,3351,398 Sago Hill Road,,HADDON,VIC,3351,03 4344 4139,249,Golden Plains (S),143.72171,-37.58864
Government,1,1079,Panmure Primary School,Primary,O,8759 Princes Highway,,Panmure,VIC,3265,C/o Post Office Panmure,,PANMURE,VIC,3265,03 5567 6264,549,Moyne (S),142.73253,-38.32935
Government,1,1090,Sorrento Primary School,Primary,O,32 Kerferd Avenue,,Sorrento,VIC,3943,P O Box 121,,SORRENTO,VIC,3943,03 5984 2130,534,Mornington Peninsula (S),144.74069,-38.34148
Government,1,1091,Alfredton Primary School,Primary,O,89a Cuthberts Road,,Alfredton,VIC,3350,89a Cuthberts Road,,ALFREDTON,VIC,3350,03 5334 1572,57,Ballarat (C),143.8021,-37.5548
Government,1,1097,Bridgewater Primary School,Primary,O,34 - 44 Eldon Street,,Bridgewater On Loddon,VIC,3516,PO BOX 62,,BRIDGEWATER,VIC,3516,03 5437 3081,394,Loddon (S),143.94592,-36.6031
Government,1,1098,Hastings Primary School,Primary,O,10 - 20 Hodgins Road,,Hastings,VIC,3915,10 - 20 Hodgins Road,,HASTINGS,VIC,3915,03 5979 1517,534,Mornington Peninsula (S),145.18947,-38.2997
Government,1,1103,Yackandandah Primary School,Primary,O,39 High Street,,Yackandandah,VIC,3749,39 High Street,,YACKANDANDAH,VIC,3749,02 6027 1431,335,Indigo (S),146.83646,-36.3121
Government,1,1104,Nagambie Primary School,Primary,O,31 Goulburn Street,,Nagambie,VIC,3608,31 Goulburn Street,,NAGAMBIE,VIC,3608,03 5794 2273,643,Strathbogie (S),145.15723,-36.78759
Government,1,1108,Heyfield Primary School,Primary,O,22 Temple Street,,Heyfield,VIC,3858,P O Box 172,,HEYFIELD,VIC,3858,03 5148 2666,681,Wellington (S),146.78494,-37.98211
Government,1,1111,Moorabbin Primary School,Primary,O,61 Worthing Road,,Moorabbin,VIC,3189,61 Worthing Road,,MOORABBIN,VIC,3189,03 9555 1101,343,Kingston (C),145.03959,-37.94202
Government,1,1112,Mansfield Primary School,Primary,O,4 Apollo Street,,Mansfield,VIC,3722,P O Box 401,,MANSFIELD,VIC,3724,03 5775 2325,425,Mansfield (S),146.08482,-37.05559
Government,1,1115,Middle Indigo Primary School,Primary,O,710 Indigo Creek Road,,Indigo Valley,VIC,3688,710 Indigo Creek Rd,,Indigo Valley,VIC,3688,02 6026 9235,335,Indigo (S),146.72484,-36.15601
Government,1,1117,Briagolong Primary School,Primary,O,2 Church Street,,Briagolong,VIC,3860,2 Church Street,,BRIAGOLONG,VIC,3860,03 5145 5260,681,Wellington (S),147.06784,-37.8428
Government,1,1120,Lindenow Primary School,Primary,O,140 Henry Street,,Lindenow,VIC,3865,140 HENRY STREET,,LINDENOW,VIC,3865,03 5157 1340,211,East Gippsland (S),147.45327,-37.80088
Government,1,1125,Broadford Primary School,Primary,O,17-23 Powlett Street,,Broadford,VIC,3658,P O Box 109,,BROADFORD,VIC,3658,03 5784 1221,485,Mitchell (S),145.0463,-37.20257
Government,1,1126,Murchison Primary School,Primary,O,8 - 10 Impey Street,,Murchison,VIC,3610,P O Box 85,,MURCHISON,VIC,3610,03 5826 2391,283,Greater Shepparton (C),145.21429,-36.61718
Government,1,1134,Panton Hill Primary School,Primary,O,585 Kangaroo Grd-St Andrews Rd,,Panton Hill,VIC,3759,585 Kangaroo Grd-St Andrews Rd,,PANTON HILL,VIC,3759,03 9719 7202,571,Nillumbik (S),145.23956,-37.64161
Government,1,1135,Glen Park Primary School,Primary,O,265 Ralstons Road,,Glen Park,VIC,3352,265 Ralstons Road,,GLEN PARK,VIC,3352,03 5334 5360,515,Moorabool (S),143.9348,-37.52478
Government,1,1136,Concongella Primary School,Primary,O,61 Concongella School Road,,CONCONGELLA,VIC,3384,61 Concongella School Road,,CONCONGELLA,VIC,3384,03 5358 1811,581,Northern Grampians (S),142.82232,-37.04956
Government,1,1141,Bruthen Primary School,Primary,O,31 Great Alpine Road,,Bruthen,VIC,3885,PO Box 101,,BRUTHEN,VIC,3885,03 5157 5445,211,East Gippsland (S),147.83349,-37.70421
Government,1,1142,Swan Hill Primary School,Primary,O,123 Gray Street,,Swan Hill,VIC,3585,P O Box 798,,SWAN HILL,VIC,3585,03 5032 1336,661,Swan Hill (RC),143.54325,-35.34691
Government,1,1144,Porepunkah Primary School,Primary,O,2 Martley Street,,Porepunkah,VIC,3740,2 Martley Street,,POREPUNKAH,VIC,3740,03 5756 2253,11,Alpine (S),146.91102,-36.69949
Government,1,1146,Leopold Primary School,Primary,O,1 Kensington Road,,Leopold,VIC,3224,P O Box 42,,LEOPOLD,VIC,3224,03 5250 1233,275,Greater Geelong (C),144.46437,-38.18726
Government,1,1147,Inverleigh Primary School,Primary,O,54 High Street,,Inverleigh,VIC,3321,54 High St,,INVERLEIGH,VIC,3321,03 5265 1340,249,Golden Plains (S),144.05469,-38.10094
Government,1,1148,Glen Iris Primary School,Primary,O,170 Glen Iris Road,,Glen Iris,VIC,3146,170 Glen Iris Road,,GLEN IRIS,VIC,3146,03 9885 3624,111,Boroondara (C),145.06589,-37.86048
Government,1,1150,Trawalla Primary School,Primary,O,11 Trawalla Road,,Trawalla,VIC,3373,11 Trawalla Road,,TRAWALLA,VIC,3373,03 5349 2047,599,Pyrenees (S),143.46986,-37.43773
Government,1,1165,Quarry Hill Primary School,Primary,O,25 Peel Street,,Quarry Hill,VIC,3550,P O Box 2118,,BENDIGO DC,VIC,3554,03 5443 3537,262,Greater Bendigo (C),144.27998,-36.77512
Government,1,1167,Sebastopol Primary School,Primary,O,9 Warreen Street,,Sebastopol,VIC,3356,P O Box 246,,SEBASTOPOL,VIC,3356,03 5335 8157,57,Ballarat (C),143.84472,-37.59643
Government,1,1176,Woodside Primary School,Primary,O,39-41 Prince St,,Woodside,VIC,3874,39-41 Prince St